"행정구역","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상","2021년_계_총인구수","2021년_계_연령구간인구수","2021년_계_0~9세","2021년_계_10~19세","2021년_계_20~29세","2021년_계_30~39세","2021년_계_40~49세","2021년_계_50~59세","2021년_계_60~69세","2021년_계_70~79세","2021년_계_80~89세","2021년_계_90~99세","2021년_계_100세 이상","2021년_남_총인구수","2021년_남_연령구간인구수","2021년_남_0~9세","2021년_남_10~19세","2021년_남_20~29세","2021년_남_30~39세","2021년_남_40~49세","2021년_남_50~59세","2021년_남_60~69세","2021년_남_70~79세","2021년_남_80~89세","2021년_남_90~99세","2021년_남_100세 이상","2021년_여_총인구수","2021년_여_연령구간인구수","2021년_여_0~9세","2021년_여_10~19세","2021년_여_20~29세","2021년_여_30~39세","2021년_여_40~49세","2021년_여_50~59세","2021년_여_60~69세","2021년_여_70~79세","2021년_여_80~89세","2021년_여_90~99세","2021년_여_100세 이상","2022년_계_총인구수","2022년_계_연령구간인구수","2022년_계_0~9세","2022년_계_10~19세","2022년_계_20~29세","2022년_계_30~39세","2022년_계_40~49세","2022년_계_50~59세","2022년_계_60~69세","2022년_계_70~79세","2022년_계_80~89세","2022년_계_90~99세","2022년_계_100세 이상","2022년_남_총인구수","2022년_남_연령구간인구수","2022년_남_0~9세","2022년_남_10~19세","2022년_남_20~29세","2022년_남_30~39세","2022년_남_40~49세","2022년_남_50~59세","2022년_남_60~69세","2022년_남_70~79세","2022년_남_80~89세","2022년_남_90~99세","2022년_남_100세 이상","2022년_여_총인구수","2022년_여_연령구간인구수","2022년_여_0~9세","2022년_여_10~19세","2022년_여_20~29세","2022년_여_30~39세","2022년_여_40~49세","2022년_여_50~59세","2022년_여_60~69세","2022년_여_70~79세","2022년_여_80~89세","2022년_여_90~99세","2022년_여_100세 이상","2023년_계_총인구수","2023년_계_연령구간인구수","2023년_계_0~9세","2023년_계_10~19세","2023년_계_20~29세","2023년_계_30~39세","2023년_계_40~49세","2023년_계_50~59세","2023년_계_60~69세","2023년_계_70~79세","2023년_계_80~89세","2023년_계_90~99세","2023년_계_100세 이상","2023년_남_총인구수","2023년_남_연령구간인구수","2023년_남_0~9세","2023년_남_10~19세","2023년_남_20~29세","2023년_남_30~39세","2023년_남_40~49세","2023년_남_50~59세","2023년_남_60~69세","2023년_남_70~79세","2023년_남_80~89세","2023년_남_90~99세","2023년_남_100세 이상","2023년_여_총인구수","2023년_여_연령구간인구수","2023년_여_0~9세","2023년_여_10~19세","2023년_여_20~29세","2023년_여_30~39세","2023년_여_40~49세","2023년_여_50~59세","2023년_여_60~69세","2023년_여_70~79세","2023년_여_80~89세","2023년_여_90~99세","2023년_여_100세 이상","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상","2025년_계_총인구수","2025년_계_연령구간인구수","2025년_계_0~9세","2025년_계_10~19세","2025년_계_20~29세","2025년_계_30~39세","2025년_계_40~49세","2025년_계_50~59세","2025년_계_60~69세","2025년_계_70~79세","2025년_계_80~89세","2025년_계_90~99세","2025년_계_100세 이상","2025년_남_총인구수","2025년_남_연령구간인구수","2025년_남_0~9세","2025년_남_10~19세","2025년_남_20~29세","2025년_남_30~39세","2025년_남_40~49세","2025년_남_50~59세","2025년_남_60~69세","2025년_남_70~79세","2025년_남_80~89세","2025년_남_90~99세","2025년_남_100세 이상","2025년_여_총인구수","2025년_여_연령구간인구수","2025년_여_0~9세","2025년_여_10~19세","2025년_여_20~29세","2025년_여_30~39세","2025년_여_40~49세","2025년_여_50~59세","2025년_여_60~69세","2025년_여_70~79세","2025년_여_80~89세","2025년_여_90~99세","2025년_여_100세 이상"
"경기도 용인시 기흥구 동백3동(4146357700)","23,521","23,521","2,979","2,977","2,225","3,147","4,934","2,696","2,023","1,700","751","87","2","11,432","11,432","1,543","1,522","1,094","1,456","2,433","1,367","854","774","352","35","2","12,089","12,089","1,436","1,455","1,131","1,691","2,501","1,329","1,169","926","399","52","0","26,473","26,473","3,169","3,387","2,514","3,529","5,515","3,248","2,313","1,795","899","103","1","12,868","12,868","1,652","1,710","1,253","1,615","2,719","1,634","1,027","802","416","39","1","13,605","13,605","1,517","1,677","1,261","1,914","2,796","1,614","1,286","993","483","64","0","26,850","26,850","2,987","3,528","2,546","3,407","5,582","3,508","2,305","1,839","1,021","125","2","13,033","13,033","1,563","1,780","1,258","1,591","2,712","1,768","1,047","801","461","51","1","13,817","13,817","1,424","1,748","1,288","1,816","2,870","1,740","1,258","1,038","560","74","1","26,898","26,898","2,745","3,591","2,618","3,245","5,481","3,766","2,266","1,887","1,133","162","4","13,100","13,100","1,473","1,844","1,294","1,518","2,659","1,884","1,043","802","519","62","2","13,798","13,798","1,272","1,747","1,324","1,727","2,822","1,882","1,223","1,085","614","100","2","26,823","26,823","2,508","3,670","2,597","3,150","5,261","3,968","2,279","1,935","1,271","181","3","13,043","13,043","1,328","1,885","1,249","1,520","2,506","2,026","1,041","817","594","75","2","13,780","13,780","1,180","1,785","1,348","1,630","2,755","1,942","1,238","1,118","677","106","1","27,271","27,271","2,353","3,697","2,661","3,214","5,096","4,269","2,421","1,975","1,359","222","4","13,267","13,267","1,213","1,886","1,328","1,598","2,388","2,181","1,145","794","637","94","3","14,004","14,004","1,140","1,811","1,333","1,616","2,708","2,088","1,276","1,181","722","128","1"
"경기도 용인시 기흥구 상하동(4146358600)","24,970","24,970","1,995","2,817","3,440","2,820","4,500","4,406","2,709","1,545","636","96","6","12,220","12,220","1,052","1,467","1,780","1,355","2,147","2,202","1,276","683","236","22","0","12,750","12,750","943","1,350","1,660","1,465","2,353","2,204","1,433","862","400","74","6","24,535","24,535","1,762","2,724","3,358","2,680","4,102","4,633","2,925","1,535","713","97","6","11,937","11,937","931","1,409","1,742","1,293","1,957","2,255","1,383","673","274","20","0","12,598","12,598","831","1,315","1,616","1,387","2,145","2,378","1,542","862","439","77","6","23,984","23,984","1,547","2,609","3,208","2,556","3,850","4,658","3,041","1,586","799","123","7","11,648","11,648","833","1,335","1,671","1,232","1,836","2,248","1,462","696","306","29","0","12,336","12,336","714","1,274","1,537","1,324","2,014","2,410","1,579","890","493","94","7","23,620","23,620","1,361","2,518","3,086","2,435","3,593","4,709","3,242","1,678","855","136","7","11,467","11,467","726","1,293","1,614","1,203","1,734","2,233","1,572","733","330","29","0","12,153","12,153","635","1,225","1,472","1,232","1,859","2,476","1,670","945","525","107","7","23,229","23,229","1,194","2,373","3,042","2,350","3,307","4,692","3,386","1,826","902","149","8","11,261","11,261","643","1,235","1,555","1,195","1,589","2,212","1,647","800","345","40","0","11,968","11,968","551","1,138","1,487","1,155","1,718","2,480","1,739","1,026","557","109","8","22,988","22,988","1,055","2,269","2,919","2,363","3,067","4,676","3,518","2,009","944","161","7","11,079","11,079","568","1,168","1,505","1,212","1,458","2,174","1,714","874","361","45","0","11,909","11,909","487","1,101","1,414","1,151","1,609","2,502","1,804","1,135","583","116","7"
"경기도 용인시 기흥구 보정동(4146359000)","36,613","36,613","3,386","4,574","4,231","4,187","7,336","5,341","3,489","2,811","1,092","160","6","17,998","17,998","1,772","2,382","2,192","1,936","3,458","2,753","1,625","1,322","507","51","0","18,615","18,615","1,614","2,192","2,039","2,251","3,878","2,588","1,864","1,489","585","109","6","36,213","36,213","3,109","4,512","4,236","3,879","7,161","5,535","3,604","2,735","1,256","180","6","17,762","17,762","1,629","2,323","2,188","1,798","3,372","2,839","1,715","1,246","594","58","0","18,451","18,451","1,480","2,189","2,048","2,081","3,789","2,696","1,889","1,489","662","122","6","35,704","35,704","2,773","4,513","4,112","3,617","6,865","5,866","3,657","2,750","1,361","186","4","17,521","17,521","1,447","2,311","2,104","1,713","3,208","3,014","1,748","1,249","662","65","0","18,183","18,183","1,326","2,202","2,008","1,904","3,657","2,852","1,909","1,501","699","121","4","35,326","35,326","2,538","4,456","4,092","3,421","6,578","6,103","3,710","2,805","1,428","190","5","17,271","17,271","1,294","2,282","2,086","1,616","3,082","3,080","1,815","1,254","694","68","0","18,055","18,055","1,244","2,174","2,006","1,805","3,496","3,023","1,895","1,551","734","122","5","34,457","34,457","2,263","4,368","4,027","3,245","6,084","6,325","3,684","2,734","1,516","208","3","16,849","16,849","1,179","2,237","2,050","1,583","2,809","3,147","1,819","1,221","731","73","0","17,608","17,608","1,084","2,131","1,977","1,662","3,275","3,178","1,865","1,513","785","135","3","35,947","35,947","2,276","4,570","4,102","3,527","6,286","6,761","3,829","2,760","1,587","248","1","17,577","17,577","1,163","2,346","2,100","1,742","2,922","3,321","1,926","1,227","742","88","0","18,370","18,370","1,113","2,224","2,002","1,785","3,364","3,440","1,903","1,533","845","160","1"
"경기도 용인시 수지구 (4146500000)","375,843","375,843","36,750","45,450","46,477","51,771","72,604","55,069","33,719","23,321","9,295","1,333","54","183,210","183,210","18,715","23,124","23,210","24,564","34,796","27,911","15,671","10,643","4,183","386","7","192,633","192,633","18,035","22,326","23,267","27,207","37,808","27,158","18,048","12,678","5,112","947","47","375,568","375,568","34,903","45,250","46,014","50,044","71,464","57,510","35,445","23,235","10,218","1,436","49","182,957","182,957","17,742","22,939","23,137","23,828","34,097","29,076","16,621","10,460","4,634","418","5","192,611","192,611","17,161","22,311","22,877","26,216","37,367","28,434","18,824","12,775","5,584","1,018","44","377,448","377,448","33,212","45,615","45,377","49,480","70,821","59,785","36,564","23,650","11,418","1,484","42","184,030","184,030","16,873","23,220","22,933","23,626","33,839","29,984","17,362","10,459","5,259","469","6","193,418","193,418","16,339","22,395","22,444","25,854","36,982","29,801","19,202","13,191","6,159","1,015","36","377,422","377,422","31,279","45,612","44,623","48,445","69,777","61,677","37,856","24,270","12,252","1,596","35","183,880","183,880","15,888","23,191","22,580","23,209","33,380","30,628","18,277","10,587","5,640","491","9","193,542","193,542","15,391","22,421","22,043","25,236","36,397","31,049","19,579","13,683","6,612","1,105","26","375,351","375,351","29,128","45,632","43,603","48,045","67,553","62,681","38,892","25,003","13,019","1,752","43","182,639","182,639","14,758","23,228","21,956","23,139","32,230","31,029","18,919","10,842","5,963","562","13","192,712","192,712","14,370","22,404","21,647","24,906","35,323","31,652","19,973","14,161","7,056","1,190","30","374,094","374,094","27,591","45,951","42,008","48,234","65,931","63,159","39,547","25,975","13,662","1,994","42","181,920","181,920","13,948","23,331","21,219","23,400","31,379","31,108","19,425","11,204","6,220","678","8","192,174","192,174","13,643","22,620","20,789","24,834","34,552","32,051","20,122","14,771","7,442","1,316","34"
"경기도 용인시 수지구 풍덕천1동(4146551000)","36,762","36,762","2,760","3,704","5,439","6,239","6,098","5,413","3,653","2,328","991","127","10","18,307","18,307","1,430","1,894","2,810","3,296","2,965","2,730","1,693","1,039","410","38","2","18,455","18,455","1,330","1,810","2,629","2,943","3,133","2,683","1,960","1,289","581","89","8","36,189","36,189","2,577","3,546","5,173","6,270","5,819","5,514","3,830","2,249","1,050","152","9","18,038","18,038","1,329","1,827","2,657","3,379","2,828","2,753","1,809","986","426","44","0","18,151","18,151","1,248","1,719","2,516","2,891","2,991","2,761","2,021","1,263","624","108","9","35,668","35,668","2,456","3,424","4,909","6,262","5,606","5,522","3,906","2,246","1,172","157","8","17,850","17,850","1,269","1,796","2,575","3,375","2,739","2,757","1,835","980","472","52","0","17,818","17,818","1,187","1,628","2,334","2,887","2,867","2,765","2,071","1,266","700","105","8","35,189","35,189","2,298","3,293","4,751","6,137","5,473","5,529","3,989","2,297","1,247","164","11","17,627","17,627","1,233","1,699","2,477","3,309","2,739","2,726","1,925","972","496","49","2","17,562","17,562","1,065","1,594","2,274","2,828","2,734","2,803","2,064","1,325","751","115","9","34,797","34,797","2,134","3,237","4,580","6,223","5,198","5,575","3,984","2,356","1,311","188","11","17,359","17,359","1,118","1,673","2,371","3,343","2,633","2,706","1,943","994","521","55","2","17,438","17,438","1,016","1,564","2,209","2,880","2,565","2,869","2,041","1,362","790","133","9","34,599","34,599","2,093","3,184","4,448","6,315","5,110","5,492","3,933","2,489","1,326","202","7","17,284","17,284","1,069","1,643","2,309","3,408","2,576","2,699","1,934","1,035","554","56","1","17,315","17,315","1,024","1,541","2,139","2,907","2,534","2,793","1,999","1,454","772","146","6"
"경기도 용인시 수지구 풍덕천2동(4146552000)","41,680","41,680","4,726","5,762","4,936","6,278","9,027","5,747","2,428","1,749","917","105","5","20,442","20,442","2,405","2,953","2,412","2,946","4,397","3,062","1,168","684","380","33","2","21,238","21,238","2,321","2,809","2,524","3,332","4,630","2,685","1,260","1,065","537","72","3","41,003","41,003","4,386","5,691","4,841","5,900","8,802","5,946","2,612","1,708","999","116","2","20,175","20,175","2,229","2,927","2,432","2,751","4,290","3,138","1,293","692","390","33","0","20,828","20,828","2,157","2,764","2,409","3,149","4,512","2,808","1,319","1,016","609","83","2","41,454","41,454","4,188","5,751","4,829","5,922","8,795","6,267","2,790","1,691","1,084","137","0","20,336","20,336","2,097","2,953","2,407","2,815","4,247","3,265","1,399","686","425","42","0","21,118","21,118","2,091","2,798","2,422","3,107","4,548","3,002","1,391","1,005","659","95","0","41,450","41,450","3,965","5,727","4,800","5,944","8,715","6,427","2,892","1,714","1,123","143","0","20,362","20,362","1,992","2,947","2,378","2,843","4,224","3,301","1,490","689","449","49","0","21,088","21,088","1,973","2,780","2,422","3,101","4,491","3,126","1,402","1,025","674","94","0","41,320","41,320","3,804","5,802","4,570","6,006","8,629","6,474","3,028","1,704","1,156","147","0","20,351","20,351","1,909","2,974","2,280","2,901","4,182","3,338","1,559","690","471","47","0","20,969","20,969","1,895","2,828","2,290","3,105","4,447","3,136","1,469","1,014","685","100","0","41,219","41,219","3,690","5,935","4,329","6,193","8,432","6,494","3,110","1,746","1,114","174","2","20,287","20,287","1,872","3,013","2,157","3,012","4,075","3,322","1,609","726","445","56","0","20,932","20,932","1,818","2,922","2,172","3,181","4,357","3,172","1,501","1,020","669","118","2"
"경기도 용인시 수지구 신봉동(4146553000)","38,172","38,172","3,548","5,319","4,078","4,074","8,014","5,728","3,444","2,775","1,050","140","2","18,543","18,543","1,793","2,730","2,100","1,848","3,707","2,979","1,584","1,252","509","41","0","19,629","19,629","1,755","2,589","1,978","2,226","4,307","2,749","1,860","1,523","541","99","2","37,827","37,827","3,261","5,297","4,073","3,872","7,719","6,019","3,523","2,743","1,157","161","2","18,310","18,310","1,620","2,725","2,077","1,775","3,548","3,085","1,646","1,220","564","50","0","19,517","19,517","1,641","2,572","1,996","2,097","4,171","2,934","1,877","1,523","593","111","2","40,816","40,816","3,546","5,486","4,289","4,592","8,038","6,715","3,815","2,820","1,337","177","1","19,744","19,744","1,782","2,778","2,179","2,156","3,712","3,384","1,819","1,222","654","58","0","21,072","21,072","1,764","2,708","2,110","2,436","4,326","3,331","1,996","1,598","683","119","1","41,317","41,317","3,383","5,544","4,290","4,548","7,944","7,070","4,014","2,859","1,468","195","2","19,928","19,928","1,675","2,799","2,189","2,147","3,657","3,534","1,932","1,208","723","62","2","21,389","21,389","1,708","2,745","2,101","2,401","4,287","3,536","2,082","1,651","745","133","0","41,248","41,248","3,179","5,504","4,302","4,433","7,580","7,349","4,196","2,912","1,567","222","4","19,858","19,858","1,601","2,800","2,170","2,108","3,452","3,643","2,045","1,225","740","71","3","21,390","21,390","1,578","2,704","2,132","2,325","4,128","3,706","2,151","1,687","827","151","1","41,065","41,065","2,962","5,545","4,172","4,355","7,253","7,555","4,348","2,959","1,681","230","5","19,846","19,846","1,524","2,814","2,143","2,051","3,331","3,709","2,166","1,241","781","84","2","21,219","21,219","1,438","2,731","2,029","2,304","3,922","3,846","2,182","1,718","900","146","3"
"경기도 용인시 수지구 죽전1동(4146554000)","56,882","56,882","5,098","7,094","7,879","6,999","10,907","8,712","5,127","3,341","1,518","200","7","27,442","27,442","2,573","3,583","3,897","3,280","5,218","4,312","2,396","1,467","651","65","0","29,440","29,440","2,525","3,511","3,982","3,719","5,689","4,400","2,731","1,874","867","135","7","29,168","29,168","2,355","3,535","3,779","3,306","5,389","4,835","2,973","1,893","980","117","6","14,105","14,105","1,174","1,798","1,910","1,564","2,517","2,391","1,430","820","461","40","0","15,063","15,063","1,181","1,737","1,869","1,742","2,872","2,444","1,543","1,073","519","77","6","28,673","28,673","2,101","3,496","3,705","3,131","5,161","4,879","3,113","1,890","1,071","121","5","13,884","13,884","1,025","1,804","1,891","1,497","2,426","2,371","1,520","808","501","41","0","14,789","14,789","1,076","1,692","1,814","1,634","2,735","2,508","1,593","1,082","570","80","5","28,433","28,433","1,932","3,433","3,590","3,069","4,923","5,026","3,251","1,935","1,143","128","3","13,733","13,733","949","1,760","1,845","1,475","2,301","2,415","1,598","833","517","40","0","14,700","14,700","983","1,673","1,745","1,594","2,622","2,611","1,653","1,102","626","88","3","28,162","28,162","1,777","3,341","3,468","3,083","4,647","5,104","3,413","1,987","1,183","157","2","13,584","13,584","891","1,687","1,793","1,502","2,151","2,448","1,673","870","525","44","0","14,578","14,578","886","1,654","1,675","1,581","2,496","2,656","1,740","1,117","658","113","2","28,969","28,969","1,787","3,328","3,516","3,356","4,522","5,299","3,630","2,083","1,255","190","3","13,999","13,999","914","1,691","1,835","1,649","2,086","2,529","1,779","911","538","67","0","14,970","14,970","873","1,637","1,681","1,707","2,436","2,770","1,851","1,172","717","123","3"
"경기도 용인시 수지구 죽전2동(4146555000)","18,533","18,533","1,528","1,619","2,765","3,303","3,055","2,876","1,779","1,046","470","90","2","9,151","9,151","802","830","1,390","1,670","1,509","1,406","843","481","191","29","0","9,382","9,382","726","789","1,375","1,633","1,546","1,470","936","565","279","61","2","18,387","18,387","1,411","1,534","2,824","3,209","2,955","2,924","1,855","1,061","511","100","3","9,107","9,107","736","800","1,439","1,646","1,454","1,413","887","492","206","34","0","9,280","9,280","675","734","1,385","1,563","1,501","1,511","968","569","305","66","3","18,178","18,178","1,353","1,476","2,689","3,134","2,896","2,965","1,920","1,087","563","91","4","9,050","9,050","706","754","1,411","1,590","1,431","1,447","933","511","229","38","0","9,128","9,128","647","722","1,278","1,544","1,465","1,518","987","576","334","53","4","18,003","18,003","1,236","1,420","2,582","3,123","2,771","3,020","2,036","1,111","595","108","1","8,927","8,927","640","717","1,349","1,590","1,380","1,462","983","517","250","39","0","9,076","9,076","596","703","1,233","1,533","1,391","1,558","1,053","594","345","69","1","17,805","17,805","1,134","1,390","2,543","3,121","2,676","2,945","2,096","1,172","619","106","3","8,760","8,760","566","703","1,304","1,587","1,341","1,397","1,026","528","267","41","0","9,045","9,045","568","687","1,239","1,534","1,335","1,548","1,070","644","352","65","3","17,110","17,110","1,083","1,324","2,174","3,049","2,500","2,834","2,201","1,187","639","115","4","8,320","8,320","527","672","1,098","1,541","1,234","1,330","1,071","534","272","41","0","8,790","8,790","556","652","1,076","1,508","1,266","1,504","1,130","653","367","74","4"
"경기도 용인시 수지구 죽전3동(4146555500)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27,063","27,063","2,256","3,261","4,073","3,476","5,010","4,207","2,511","1,480","688","96","5","13,007","13,007","1,139","1,607","2,017","1,638","2,428","2,079","1,157","639","274","29","0","14,056","14,056","1,117","1,654","2,056","1,838","2,582","2,128","1,354","841","414","67","5","26,717","26,717","2,047","3,222","3,992","3,358","4,792","4,318","2,604","1,528","758","94","4","12,924","12,924","1,039","1,639","2,008","1,592","2,302","2,145","1,198","656","311","33","1","13,793","13,793","1,008","1,583","1,984","1,766","2,490","2,173","1,406","872","447","61","3","26,584","26,584","1,845","3,204","3,987","3,237","4,604","4,480","2,717","1,588","818","101","3","12,906","12,906","936","1,618","2,045","1,536","2,209","2,214","1,283","693","338","33","1","13,678","13,678","909","1,586","1,942","1,701","2,395","2,266","1,434","895","480","68","2","26,441","26,441","1,672","3,078","4,087","3,174","4,352","4,608","2,824","1,655","878","111","2","12,835","12,835","837","1,554","2,096","1,523","2,078","2,292","1,341","724","352","38","0","13,606","13,606","835","1,524","1,991","1,651","2,274","2,316","1,483","931","526","73","2","26,294","26,294","1,527","3,038","3,989","3,167","4,227","4,600","2,892","1,785","923","142","4","12,765","12,765","775","1,522","2,063","1,536","1,994","2,288","1,380","781","378","46","2","13,529","13,529","752","1,516","1,926","1,631","2,233","2,312","1,512","1,004","545","96","2"
"경기도 용인시 수지구 동천동(4146556000)","49,521","49,521","5,761","5,354","5,553","7,957","9,610","6,990","4,659","2,583","888","161","5","24,413","24,413","2,987","2,768","2,785","3,709","4,733","3,533","2,253","1,222","384","39","0","25,108","25,108","2,774","2,586","2,768","4,248","4,877","3,457","2,406","1,361","504","122","5","49,723","49,723","5,530","5,421","5,562","7,501","9,627","7,332","4,945","2,643","997","159","6","24,478","24,478","2,871","2,755","2,808","3,500","4,736","3,737","2,352","1,241","439","37","2","25,245","25,245","2,659","2,666","2,754","4,001","4,891","3,595","2,593","1,402","558","122","4","50,642","50,642","5,384","5,564","5,540","7,493","9,815","7,654","5,085","2,823","1,116","161","7","24,947","24,947","2,806","2,822","2,796","3,478","4,842","3,876","2,445","1,301","531","48","2","25,695","25,695","2,578","2,742","2,744","4,015","4,973","3,778","2,640","1,522","585","113","5","50,793","50,793","5,044","5,696","5,451","7,137","9,890","7,930","5,303","2,959","1,204","172","7","24,984","24,984","2,596","2,914","2,739","3,312","4,881","3,976","2,576","1,371","567","50","2","25,809","25,809","2,448","2,782","2,712","3,825","5,009","3,954","2,727","1,588","637","122","5","50,597","50,597","4,562","5,856","5,299","6,936","9,672","8,114","5,520","3,121","1,323","188","6","24,816","24,816","2,330","3,011","2,640","3,218","4,757","4,056","2,674","1,433","632","63","2","25,781","25,781","2,232","2,845","2,659","3,718","4,915","4,058","2,846","1,688","691","125","4","50,787","50,787","4,253","5,976","5,167","6,950","9,567","8,232","5,584","3,405","1,457","192","4","24,887","24,887","2,149","3,073","2,563","3,306","4,658","4,095","2,736","1,557","685","65","0","25,900","25,900","2,104","2,903","2,604","3,644","4,909","4,137","2,848","1,848","772","127","4"
"경기도 용인시 수지구 상현1동(4146557000)","48,649","48,649","4,816","6,183","6,338","6,785","9,361","7,030","4,094","2,791","1,083","158","10","23,535","23,535","2,383","3,136","3,075","3,216","4,449","3,557","1,900","1,281","500","37","1","25,114","25,114","2,433","3,047","3,263","3,569","4,912","3,473","2,194","1,510","583","121","9","20,422","20,422","1,978","2,814","2,244","2,404","3,957","3,124","1,822","1,381","592","103","3","9,775","9,775","992","1,377","1,117","1,083","1,844","1,602","843","606","291","19","1","10,647","10,647","986","1,437","1,127","1,321","2,113","1,522","979","775","301","84","2","20,116","20,116","1,797","2,786","2,230","2,226","3,894","3,212","1,845","1,379","632","111","4","9,635","9,635","908","1,368","1,102","1,007","1,832","1,620","866","600","304","27","1","10,481","10,481","889","1,418","1,128","1,219","2,062","1,592","979","779","328","84","3","20,088","20,088","1,709","2,742","2,233","2,192","3,803","3,359","1,878","1,381","680","110","1","9,649","9,649","873","1,354","1,108","1,003","1,800","1,672","899","583","328","28","1","10,439","10,439","836","1,388","1,125","1,189","2,003","1,687","979","798","352","82","0","19,960","19,960","1,659","2,705","2,226","2,173","3,688","3,390","1,893","1,386","727","110","3","9,597","9,597","836","1,368","1,082","1,014","1,735","1,681","926","576","348","29","2","10,363","10,363","823","1,337","1,144","1,159","1,953","1,709","967","810","379","81","1","19,740","19,740","1,632","2,664","2,108","2,242","3,646","3,329","1,878","1,367","754","119","1","9,413","9,413","784","1,337","1,026","1,032","1,733","1,627","936","548","351","39","0","10,327","10,327","848","1,327","1,082","1,210","1,913","1,702","942","819","403","80","1"
"경기도 용인시 수지구 상현2동(4146558000)","34,092","34,092","3,387","4,234","3,913","4,306","6,592","5,066","3,044","2,464","941","141","4","16,604","16,604","1,744","2,196","1,939","2,042","3,156","2,538","1,373","1,138","435","43","0","17,488","17,488","1,643","2,038","1,974","2,264","3,436","2,528","1,671","1,326","506","98","4","33,287","33,287","3,136","4,160","3,736","4,040","6,373","5,162","3,136","2,367","1,038","136","3","16,158","16,158","1,611","2,142","1,876","1,898","3,034","2,581","1,420","1,062","489","44","1","17,129","17,129","1,525","2,018","1,860","2,142","3,339","2,581","1,716","1,305","549","92","2","32,922","32,922","2,876","4,167","3,650","3,857","6,259","5,261","3,186","2,353","1,184","126","3","15,968","15,968","1,460","2,168","1,847","1,817","2,994","2,585","1,466","1,037","553","39","2","16,954","16,954","1,416","1,999","1,803","2,040","3,265","2,676","1,720","1,316","631","87","1","33,110","33,110","2,760","4,193","3,606","3,802","6,234","5,429","3,312","2,376","1,254","141","3","16,032","16,032","1,405","2,168","1,839","1,773","2,994","2,658","1,544","1,026","585","39","1","17,078","17,078","1,355","2,025","1,767","2,029","3,240","2,771","1,768","1,350","669","102","2","32,874","32,874","2,588","4,229","3,436","3,832","6,020","5,534","3,246","2,500","1,321","162","6","15,918","15,918","1,321","2,196","1,746","1,793","2,865","2,720","1,544","1,068","614","49","2","16,956","16,956","1,267","2,033","1,690","2,039","3,155","2,814","1,702","1,432","707","113","4","32,659","32,659","2,461","4,252","3,344","3,814","5,902","5,504","3,285","2,533","1,372","188","4","15,811","15,811","1,237","2,229","1,702","1,789","2,789","2,728","1,570","1,071","631","64","1","16,848","16,848","1,224","2,023","1,642","2,025","3,113","2,776","1,715","1,462","741","124","3"
