"행정구역","2020년_전년인구수_남자인구수","2020년_전년인구수_여자인구수","2020년_전년인구수_계","2020년_당년인구수_남자인구수","2020년_당년인구수_여자인구수","2020년_당년인구수_계","2020년_인구증감_남자인구수","2020년_인구증감_여자인구수","2020년_인구증감_계","2021년_전년인구수_남자인구수","2021년_전년인구수_여자인구수","2021년_전년인구수_계","2021년_당년인구수_남자인구수","2021년_당년인구수_여자인구수","2021년_당년인구수_계","2021년_인구증감_남자인구수","2021년_인구증감_여자인구수","2021년_인구증감_계","2022년_전년인구수_남자인구수","2022년_전년인구수_여자인구수","2022년_전년인구수_계","2022년_당년인구수_남자인구수","2022년_당년인구수_여자인구수","2022년_당년인구수_계","2022년_인구증감_남자인구수","2022년_인구증감_여자인구수","2022년_인구증감_계","2023년_전년인구수_남자인구수","2023년_전년인구수_여자인구수","2023년_전년인구수_계","2023년_당년인구수_남자인구수","2023년_당년인구수_여자인구수","2023년_당년인구수_계","2023년_인구증감_남자인구수","2023년_인구증감_여자인구수","2023년_인구증감_계","2024년_전년인구수_남자인구수","2024년_전년인구수_여자인구수","2024년_전년인구수_계","2024년_당년인구수_남자인구수","2024년_당년인구수_여자인구수","2024년_당년인구수_계","2024년_인구증감_남자인구수","2024년_인구증감_여자인구수","2024년_인구증감_계","2025년_전년인구수_남자인구수","2025년_전년인구수_여자인구수","2025년_전년인구수_계","2025년_당년인구수_남자인구수","2025년_당년인구수_여자인구수","2025년_당년인구수_계","2025년_인구증감_남자인구수","2025년_인구증감_여자인구수","2025년_인구증감_계"
"경기도 용인시 기흥구 영덕2동(4146351700)","0","0","0","8,736","8,887","17,623","8,736","8,887","17,623","8,736","8,887","17,623","8,645","8,859","17,504","-91","-28","-119","8,645","8,859","17,504","8,608","8,820","17,428","-37","-39","-76","8,608","8,820","17,428","9,488","9,711","19,199","880","891","1,771","9,488","9,711","19,199","9,479","9,753","19,232","-9","42","33","9,479","9,753","19,232","9,419","9,718","19,137","-60","-35","-95"
"경기도 용인시 기흥구 구갈동(4146352000)","21,016","21,082","42,098","20,974","21,096","42,070","-42","14","-28","20,974","21,096","42,070","20,866","20,849","41,715","-108","-247","-355","20,866","20,849","41,715","20,712","20,649","41,361","-154","-200","-354","20,712","20,649","41,361","20,573","20,442","41,015","-139","-207","-346","20,573","20,442","41,015","20,356","19,944","40,300","-217","-498","-715","20,356","19,944","40,300","20,203","19,758","39,961","-153","-186","-339"
"경기도 용인시 기흥구 상갈동(4146353000)","23,549","23,284","46,833","6,931","6,501","13,432","-16,618","-16,783","-33,401","6,931","6,501","13,432","6,821","6,367","13,188","-110","-134","-244","6,821","6,367","13,188","6,847","6,329","13,176","26","-38","-12","6,847","6,329","13,176","6,699","6,197","12,896","-148","-132","-280","6,699","6,197","12,896","6,512","6,072","12,584","-187","-125","-312","6,512","6,072","12,584","6,424","6,057","12,481","-88","-15","-103"
"경기도 용인시 기흥구 보라동(4146353500)","0","0","0","16,723","16,962","33,685","16,723","16,962","33,685","16,723","16,962","33,685","16,450","16,835","33,285","-273","-127","-400","16,450","16,835","33,285","16,265","16,751","33,016","-185","-84","-269","16,265","16,751","33,016","16,228","16,678","32,906","-37","-73","-110","16,228","16,678","32,906","16,131","16,557","32,688","-97","-121","-218","16,131","16,557","32,688","16,009","16,418","32,427","-122","-139","-261"
"경기도 용인시 기흥구 기흥동(4146354000)","10,448","10,600","21,048","10,546","10,786","21,332","98","186","284","10,546","10,786","21,332","10,718","10,907","21,625","172","121","293","10,718","10,907","21,625","10,666","10,811","21,477","-52","-96","-148","10,666","10,811","21,477","10,567","10,726","21,293","-99","-85","-184","10,567","10,726","21,293","10,363","10,561","20,924","-204","-165","-369","10,363","10,561","20,924","10,275","10,462","20,737","-88","-99","-187"
"경기도 용인시 기흥구 서농동(4146355000)","12,931","12,434","25,365","13,312","12,650","25,962","381","216","597","13,312","12,650","25,962","13,548","12,748","26,296","236","98","334","13,548","12,748","26,296","13,403","12,653","26,056","-145","-95","-240","13,403","12,653","26,056","12,901","12,339","25,240","-502","-314","-816","12,901","12,339","25,240","12,725","12,280","25,005","-176","-59","-235","12,725","12,280","25,005","12,420","12,132","24,552","-305","-148","-453"
"경기도 용인시 기흥구 구성동(4146356000)","19,173","20,388","39,561","19,040","20,332","39,372","-133","-56","-189","19,040","20,332","39,372","19,418","20,840","40,258","378","508","886","19,418","20,840","40,258","19,254","20,659","39,913","-164","-181","-345","19,254","20,659","39,913","18,926","20,377","39,303","-328","-282","-610","18,926","20,377","39,303","18,635","20,125","38,760","-291","-252","-543","18,635","20,125","38,760","18,408","19,987","38,395","-227","-138","-365"
"경기도 용인시 기흥구 마북동(4146357000)","15,834","16,485","32,319","15,838","16,554","32,392","4","69","73","15,838","16,554","32,392","15,647","16,361","32,008","-191","-193","-384","15,647","16,361","32,008","15,459","16,216","31,675","-188","-145","-333","15,459","16,216","31,675","15,358","16,091","31,449","-101","-125","-226","15,358","16,091","31,449","16,434","17,130","33,564","1,076","1,039","2,115","16,434","17,130","33,564","16,392","17,192","33,584","-42","62","20"
"경기도 용인시 기흥구 동백1동(4146357200)","0","0","0","15,903","17,152","33,055","15,903","17,152","33,055","15,903","17,152","33,055","15,694","17,008","32,702","-209","-144","-353","15,694","17,008","32,702","15,558","16,902","32,460","-136","-106","-242","15,558","16,902","32,460","15,303","16,720","32,023","-255","-182","-437","15,303","16,720","32,023","15,037","16,361","31,398","-266","-359","-625","15,037","16,361","31,398","14,852","16,143","30,995","-185","-218","-403"
"경기도 용인시 기흥구 동백2동(4146357500)","0","0","0","13,374","13,861","27,235","13,374","13,861","27,235","13,374","13,861","27,235","13,387","13,877","27,264","13","16","29","13,387","13,877","27,264","13,309","13,768","27,077","-78","-109","-187","13,309","13,768","27,077","13,206","13,688","26,894","-103","-80","-183","13,206","13,688","26,894","12,942","13,548","26,490","-264","-140","-404","12,942","13,548","26,490","12,806","13,358","26,164","-136","-190","-326"
"경기도 용인시 기흥구 동백3동(4146357700)","0","0","0","11,432","12,089","23,521","11,432","12,089","23,521","11,432","12,089","23,521","12,868","13,605","26,473","1,436","1,516","2,952","12,868","13,605","26,473","13,033","13,817","26,850","165","212","377","13,033","13,817","26,850","13,100","13,798","26,898","67","-19","48","13,100","13,798","26,898","13,043","13,780","26,823","-57","-18","-75","13,043","13,780","26,823","13,267","14,004","27,271","224","224","448"
"경기도 용인시 기흥구 동백동(4146358500)","40,267","42,310","82,577","0","0","0","-40,267","-42,310","-82,577","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
